机构ID,归档数,W1_2016_2018,W2_2019_2021,W3_2022_2026,全文数,摘要数,最早日期,最晚日期
itif,69,0,0,69,60,9,2022-07-27,2026-08-13
rand,56,0,0,56,42,14,2026-04-15,2026-08-12
cset,55,0,0,55,38,17,2023-08-10,2026-08-12
govai,40,0,0,40,23,17,2022-08-16,2026-07-02
merics,34,0,0,34,34,0,2023-07-27,2026-06-30
carnegie-tech,27,2,6,19,26,1,2018-09-24,2026-06-29
orf-america,23,0,0,23,23,0,2022-10-05,2026-06-29
csis,20,0,0,20,19,1,2026-06-17,2026-08-14
cnas-tech,18,0,0,18,14,4,2024-02-20,2026-06-26
brookings-cti,17,0,0,17,14,3,2026-04-20,2026-08-10
iiss,16,0,0,16,0,16,2023-09-11,2025-09-03
oecd-ai,16,0,0,16,8,8,2024-03-31,2026-07-06
belfer,14,0,0,14,13,1,2024-10-21,2026-06-30
stepi,12,0,0,12,12,0,2026-02-12,2026-08-11
interface,10,0,0,10,8,2,2026-03-06,2026-07-01
rusi,10,0,0,10,4,6,2023-10-31,2026-07-01
aspi,9,0,0,9,9,0,2026-07-02,2026-08-06
stanford-hai,8,0,0,8,7,1,2024-10-23,2026-07-01
atlantic-council-geotech,6,0,0,6,6,0,2026-05-13,2026-07-16
bruegel,6,0,0,6,6,0,2026-02-04,2026-07-15
hoover-tpa,6,0,0,6,6,0,2025-03-27,2026-04-15
ada-lovelace,5,0,0,5,4,1,2025-11-11,2026-04-13
ceps,5,0,0,5,5,0,2026-05-28,2026-07-17
ecipe,5,0,0,5,5,0,2026-05-11,2026-06-29
nbr,4,0,0,4,4,0,2025-01-09,2026-03-25
nistep,4,0,0,4,4,0,2024-10-27,2026-06-08
ifp,1,0,0,1,1,0,2026-08-06,2026-08-06
us-ostp,1,0,0,1,1,0,2026-07-21,2026-07-21
