报告ID,指标周期,发布日期,专题,报告名称,官方编号,官方落地页,官方PDF,本地PDF,本地文本,本地切片,PDF页数,字节数,提取文本字符数,China词形命中数,SHA256,中国与科技创新复用角色,获取日期
C-NSF-NSB-ARD-2020,2020,2020-01-15,Academic R&D,Academic Research and Development,NSB20202,https://ncses.nsf.gov/pubs/nsb20202,https://ncses.nsf.gov/pubs/nsb20202/assets/nsb20202.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NSF-NSB-ARD-2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NSF-NSB-ARD-2020.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NSF-NSB-ARD-2020.md,39,1074839,70853,0,ada559a572d0a517362e78d5399c016e9bd42b3997454dcfc6abd005abe313f0,大学基础研究投入、资助结构、科研设施、研究人才与国际比较,2026-08-23
C-NSF-NSB-ARD-2022,2022,2021-09-14,Academic R&D,Academic Research and Development,NSB20213,https://ncses.nsf.gov/pubs/nsb20213,https://ncses.nsf.gov/pubs/nsb20213/assets/nsb20213.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NSF-NSB-ARD-2022.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NSF-NSB-ARD-2022.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NSF-NSB-ARD-2022.md,57,1336869,122162,6,fcd1679d6ccf9944ca767c3b0d17a5c3bc3987f7cc4f0d0d2ef5ecc76eceb6bb,大学基础研究投入、资助结构、科研设施、研究人才与国际比较,2026-08-23
C-NSF-NSB-ARD-2024,2024,2023-10-05,Academic R&D,Academic Research and Development,NSB202326,https://ncses.nsf.gov/pubs/nsb202326,https://ncses.nsf.gov/pubs/nsb202326/assets/nsb202326.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NSF-NSB-ARD-2024.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NSF-NSB-ARD-2024.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NSF-NSB-ARD-2024.md,55,766344,112865,7,39daf2ec5d9728b8826cc690ff176b3ec9274a5633a73093fef75af940802b9a,大学基础研究投入、资助结构、科研设施、研究人才与国际比较,2026-08-23
C-NSF-NSB-WF-2020,2020,2019-09-26,STEM Workforce,Science and Engineering Labor Force,NSB20198,https://ncses.nsf.gov/pubs/nsb20198,https://ncses.nsf.gov/pubs/nsb20198/assets/nsb20198.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NSF-NSB-WF-2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NSF-NSB-WF-2020.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NSF-NSB-WF-2020.md,77,1188936,172098,12,767c5be93ba0cb07222ec501dc16533e13ab7ecda74019c4dd157c966dcdfc4e,科学与工程人才规模、结构、流动、职业路径及中国出生人才关联,2026-08-23
C-NSF-NSB-WF-2022,2022,2021-08-31,STEM Workforce,"The STEM Labor Force of Today: Scientists, Engineers, and Skilled Technical Workers",NSB20212,https://ncses.nsf.gov/pubs/nsb20212,https://ncses.nsf.gov/pubs/nsb20212/assets/nsb20212.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NSF-NSB-WF-2022.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NSF-NSB-WF-2022.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NSF-NSB-WF-2022.md,92,2248130,206820,11,0e648f20ad2c9b7b64445cceb2ff5735504e5494df4d728cb0b78b97f6a18b1c,科学与工程人才规模、结构、流动、职业路径及中国出生人才关联,2026-08-23
C-NSF-NSB-WF-2024,2024,2024-05-30,STEM Workforce,"The STEM Labor Force: Scientists, Engineers, and Skilled Technical Workers",NSB20245,https://ncses.nsf.gov/pubs/nsb20245,https://ncses.nsf.gov/pubs/nsb20245/assets/nsb20245.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NSF-NSB-WF-2024.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NSF-NSB-WF-2024.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NSF-NSB-WF-2024.md,60,760994,135256,6,0dece78b665cff2a2d7089620d2bda3312c9bd96adf17b55bb5de20037e9d6a1,科学与工程人才规模、结构、流动、职业路径及中国出生人才关联,2026-08-23
C-NSF-NSB-INV-2020,2020,2020-01-15,Invention and Innovation,"Invention, Knowledge Transfer, and Innovation",NSB20204,https://ncses.nsf.gov/pubs/nsb20204,https://ncses.nsf.gov/pubs/nsb20204/assets/nsb20204.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NSF-NSB-INV-2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NSF-NSB-INV-2020.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NSF-NSB-INV-2020.md,69,1745221,144110,64,ca8ef5e802ae62f4b1540a3b9b465e4c96df6264240b402be086adc8c5fbe2b1,专利、科学知识引用、大学与联邦技术转移、创业创新及中国位置,2026-08-23
C-NSF-NSB-INV-2022,2022,2022-03-08,Invention and Innovation,"Invention, Knowledge Transfer, and Innovation",NSB20224,https://ncses.nsf.gov/pubs/nsb20224,https://ncses.nsf.gov/pubs/nsb20224/assets/nsb20224.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NSF-NSB-INV-2022.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NSF-NSB-INV-2022.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NSF-NSB-INV-2022.md,69,3760108,171907,37,f089dc790f0b3138f1bd4e17885d2570d0cfa0ac729315cbc4ddb88af4a231c6,专利、科学知识引用、大学与联邦技术转移、创业创新及中国位置,2026-08-23
C-NSF-NSB-INV-2024,2024,2024-02-29,Invention and Innovation,"Invention, Knowledge Transfer, and Innovation",NSB20241,https://ncses.nsf.gov/pubs/nsb20241,https://ncses.nsf.gov/pubs/nsb20241/assets/nsb20241.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NSF-NSB-INV-2024.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NSF-NSB-INV-2024.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NSF-NSB-INV-2024.md,63,2444717,138199,35,e8b9f4837b8bff1119b59dc665a29fbe6de67c203084b95e6cd98c979c3e2666,专利、科学知识引用、大学与联邦技术转移、创业创新及中国位置,2026-08-23
C-NSF-NSB-KTI-2020,2020,2020-01-23,KTI Industries,Production and Trade of Knowledge- and Technology-Intensive Industries,NSB20205,https://ncses.nsf.gov/pubs/nsb20205,https://ncses.nsf.gov/pubs/nsb20205/assets/nsb20205.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-NSF-NSB-KTI-2020.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-NSF-NSB-KTI-2020.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-NSF-NSB-KTI-2020.md,66,1210820,127436,162,ee2dc8a42e20e55da3c2d739a5591f836b5d1df1daabb4a6128613521946802b,知识技术密集产业产出、贸易、研发强度、人工智能、生物技术与中国位置,2026-08-23
