报告ID,官方记录ID,官方分类代码,韩文报告类型,发布日期,观察窗,韩文题名,作者,官方关键词,语言,资料角色,科技关联层级,主题标签,下载优先级,官方落地页,官方附件,本地原始资产,本地文本,本地切片,字节数,SHA256,PDF页数,提取文本字符数,文本质量,本地状态,错误,获取日期
C-KISTEP-RES0220180211,RES0220180211,831-003,예비타당성조사,2018-05-28,W1,환자중심 의료기술 최적화 연구사업 예비타당성조사,이흥권(재정투자분석본부),"보건의료체계, 비용효과성, 임상시험, 환자중심, 효과성",韩文,机构正式研究,科技创新政策与能力基线,生命科学、生物技术与健康；科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180211&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180211&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180212,RES0220180212,831-003,예비타당성조사,2018-05-28,W1,안전보호 융복합제품산업 육성사업,이흥권(재정투자분석본부),"산업안전, 산업용섬유, 보호복, 보호장구, 표준인증, 융복합",韩文,机构正式研究,科技创新政策与能力基线,产业创新、创业与区域体系,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180212&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180212&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180213,RES0220180213,831-003,예비타당성조사,2018-05-31,W1,자율주행 산업융합 혁신사업,이흥권(재정투자분석본부),"자율주행, 인프라, 테스트베드, 융합신기술, 융합서비스",韩文,机构正式研究,核心科技直接材料,产业创新、创业与区域体系,P0-core-tech,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180213&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180213&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180215,RES0220180215,831-003,예비타당성조사,2018-05-31,W1,양자정보통신 중장기기술개발사업 예비타당성조사 보고서,이흥권(재정투자분석본부),"양자암호통신, 양자시뮬레이터, 양자컴퓨터, 양자센서, 양자정보학",韩文,机构正式研究,核心科技直接材料,半导体、量子与战略技术；科研体系、研发投入与评价,P0-core-tech,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180215&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180215&seq=res_0026P@2,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-KISTEP-RES0220180215.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-KISTEP-RES0220180215.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-KISTEP-RES0220180215.md,5085185,73994aac29d75f61261780fd59fd9214cd43fdaba7902960b3f8259c2e943f5b,285,236331,可检索文本,官方PDF已保存并校验,,2026-08-22
C-KISTEP-RES0220180219,RES0220180219,831-001,조사평가,2018-06-28,W1,2018년도 국가연구개발사업 특정평가 (상반기),박정일(R&D평가센터),"특정평가, 효과성, 효율성, 적절성, 사업평가",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180219&rpt_tp=831-001,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180219&seq=res_0026P@13,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180221,RES0220180221,831-003,예비타당성조사,2018-07-19,W1,2016년도 예비타당성조사 보고서 지하 라이프라인 연구개발사업,이흥권(재정투자분석본부),"지하, 매설 배관, 시공, 비개착, 유지보수 ",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180221&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180221&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180222,RES0220180222,831-003,예비타당성조사,2018-07-19,W1,2015년도 예비타당성조사 보고서 제2쇄빙연구선 건조사업,이흥권(재정투자분석본부),"쇄빙연구선, 쇄빙선, 극지연구, 북극, 북극권",韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180222&rpt_tp=831-003,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180222&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-RES0220180223,RES0220180223,831-001,조사평가,2018-07-19,W1,IMD 2018 세계경쟁력연감 분석 : 과학 및 기술인프라 중심,정민우(혁신정보분석센터),"국가경쟁력, 과학기술지표",韩文,机构正式研究,科技创新政策与能力基线,科技创新政策与研究体系,P1-global-STI,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180223&rpt_tp=831-001,https://www.kistep.re.kr/reportDownload.es?rpt_no=RES0220180223&seq=res_0026P@2,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720180043,PRG0720180043,831-007,위탁/협동/공동연구보고서,2018-07-30,W1,제2차 과학기술기반 사회문제해결 종합계획의 중점추진과제 후보군 현황조사 및 이슈분석지원 연구,김자현(너비의깊이(주)),2차 사회문제해결 종합실천계획 과학기술기반국민생활문제해결  종합실천계획 중점추진과제 범부처 종합계획 1차계획 성과분석 국내외 사례조사,韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180043&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720180043&seq=prg_0071P@3,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
C-KISTEP-PRG0720180044,PRG0720180044,831-007,위탁/협동/공동연구보고서,2018-07-30,W1,"R&SBD개념을 접목한 다부처 사회문제해결형 R&D 사
업 시범과제 발굴 및 예비기획연구",양현모(전략컨설팅집현(주)),사회문제해결 과학기술 비즈니스모델 다부처,韩文,机构正式研究,科技创新政策与能力基线,科研体系、研发投入与评价,P2-STI-baseline,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180044&rpt_tp=831-007,https://www.kistep.re.kr/reportDownload.es?rpt_no=PRG0720180044&seq=prg_0071P@3,,,,0,,0,0,官方目录无本地正文,官方目录元数据，附件未列入本批,,2026-08-22
