主题标签,科技关联层级,报告ID,发布日期,观察窗,报告名称,资料角色,本地原始资产,本地文本,官方落地页,本地状态
生命科学、生物技术与健康,科技创新政策与能力基线,C-KISTEP-RES0220180211,2018-05-28,W1,환자중심 의료기술 최적화 연구사업 예비타당성조사,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180211&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180211,2018-05-28,W1,환자중심 의료기술 최적화 연구사업 예비타당성조사,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180211&rpt_tp=831-003,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,科技创新政策与能力基线,C-KISTEP-RES0220180212,2018-05-28,W1,안전보호 융복합제품산업 육성사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180212&rpt_tp=831-003,官方目录元数据，附件未列入本批
产业创新、创业与区域体系,核心科技直接材料,C-KISTEP-RES0220180213,2018-05-31,W1,자율주행 산업융합 혁신사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180213&rpt_tp=831-003,官方目录元数据，附件未列入本批
半导体、量子与战略技术,核心科技直接材料,C-KISTEP-RES0220180215,2018-05-31,W1,양자정보통신 중장기기술개발사업 예비타당성조사 보고서,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180215&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,核心科技直接材料,C-KISTEP-RES0220180215,2018-05-31,W1,양자정보통신 중장기기술개발사업 예비타당성조사 보고서,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180215&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180219,2018-06-28,W1,2018년도 국가연구개발사업 특정평가 (상반기),机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180219&rpt_tp=831-001,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180221,2018-07-19,W1,2016년도 예비타당성조사 보고서 지하 라이프라인 연구개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180221&rpt_tp=831-003,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-RES0220180222,2018-07-19,W1,2015년도 예비타당성조사 보고서 제2쇄빙연구선 건조사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180222&rpt_tp=831-003,官方目录元数据，附件未列入本批
科技创新政策与研究体系,科技创新政策与能力基线,C-KISTEP-RES0220180223,2018-07-19,W1,IMD 2018 세계경쟁력연감 분석 : 과학 및 기술인프라 중심,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180223&rpt_tp=831-001,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720180043,2018-07-30,W1,제2차 과학기술기반 사회문제해결 종합계획의 중점추진과제 후보군 현황조사 및 이슈분석지원 연구,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180043&rpt_tp=831-007,官方目录元数据，附件未列入本批
科研体系、研发投入与评价,科技创新政策与能力基线,C-KISTEP-PRG0720180044,2018-07-30,W1,"R&SBD개념을 접목한 다부처 사회문제해결형 R&D 사
업 시범과제 발굴 및 예비기획연구",机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=PRG0720180044&rpt_tp=831-007,官方目录元数据，附件未列入本批
生命科学、生物技术与健康,科技创新政策与能力基线,C-KISTEP-RES0220180225,2018-08-27,W1,2017년도 예비타당성조사 보고서 한의약 혁신기술 개발사업,机构正式研究,,,https://www.kistep.re.kr/reportAllDetail.es?mid=a10305010000&rpt_no=RES0220180225&rpt_tp=831-003,官方目录元数据，附件未列入本批
