附件ID,报告ID,卷别,年份,韩文题名,官方落地页,官方ZIP,ZIP内文件名,本地原始资产,本地文本,本地切片,字节数,SHA256,PDF页数,提取文本字符数,文本质量,获取日期
C-STEPI-A0203-202,C-STEPI-A0203-202,主卷,2017,중국(중화권) 첨단기술 모니터링 및 DB구축사업 : 우주개발 분야를 중심으로,https://www.stepi.re.kr/site/stepiko/report/View.do?cateCont=A0203&reIdx=202,https://www.stepi.re.kr/common/report/Download.do?reIdx=202&streFileNm=A0203_202&cateCont=A0203&purpose=1&jobGroup=1,F17-07.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-202.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-202.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-202.md,11939296,ab908906c3a1d7d9f80a5e0747525db0a93c55df031e8b0557b32be7605209eb,314,325926,可检索文本,2026-08-22
C-STEPI-A0203-202-SUPP,C-STEPI-A0203-202,附卷,2017,중국(중화권) 첨단기술 모니터링 및 DB구축사업 : 우주개발 분야를 중심으로,https://www.stepi.re.kr/site/stepiko/report/View.do?cateCont=A0203&reIdx=202,https://www.stepi.re.kr/common/report/Download.do?reIdx=202&streFileNm=A0203_202&cateCont=A0203&purpose=1&jobGroup=1,F17-07_║░├Ñ.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-202-SUPP.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-202-SUPP.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-202-SUPP.md,3242898,f860cd27160dc1c4e0c121c80d8a755fab8711c355b4a58249fed031602b9f53,176,189710,可检索文本,2026-08-22
C-STEPI-A0203-218,C-STEPI-A0203-218,主卷,2018,2018년 중국(중화권) 첨단기술 모니터링 및 DB 구축 사업: 로봇·3D 프린팅·드론,https://www.stepi.re.kr/site/stepiko/report/View.do?cateCont=A0203&reIdx=218,https://www.stepi.re.kr/common/report/Download.do?reIdx=218&streFileNm=A0203_218&cateCont=A0203&purpose=1&jobGroup=1,F18-09.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-218.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-218.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-218.md,11861880,b36e48b1acbac4709f0128cad0bd04585053ec45c0409ba098b3d0640e68b4ef,288,295292,可检索文本,2026-08-22
C-STEPI-A0203-218-SUPP,C-STEPI-A0203-218,附卷,2018,2018년 중국(중화권) 첨단기술 모니터링 및 DB 구축 사업: 로봇·3D 프린팅·드론,https://www.stepi.re.kr/site/stepiko/report/View.do?cateCont=A0203&reIdx=218,https://www.stepi.re.kr/common/report/Download.do?reIdx=218&streFileNm=A0203_218&cateCont=A0203&purpose=1&jobGroup=1,F18-09_║░▒╟.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-218-SUPP.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-218-SUPP.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-218-SUPP.md,11810443,5964982feeb0d11114b045976f7c2478fb89d3836a242208d59a270100ea2827,211,217753,可检索文本,2026-08-22
C-STEPI-A0203-227,C-STEPI-A0203-227,主卷,2019,2019년 중국(중화권) 첨단기술 모니터링 및 DB 구축 사업: 스마트 모빌리티,https://www.stepi.re.kr/site/stepiko/report/View.do?cateCont=A0203&reIdx=227,https://www.stepi.re.kr/common/report/Download.do?reIdx=227&streFileNm=A0203_227&cateCont=A0203&purpose=1&jobGroup=1,F19-07.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-227.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-227.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-227.md,5779250,3831f35c72656b43eb7e31dbefafdf8998bc5dd5385a90c36a6989f85da951d9,348,372241,可检索文本,2026-08-22
C-STEPI-A0203-227-SUPP,C-STEPI-A0203-227,附卷,2019,2019년 중국(중화권) 첨단기술 모니터링 및 DB 구축 사업: 스마트 모빌리티,https://www.stepi.re.kr/site/stepiko/report/View.do?cateCont=A0203&reIdx=227,https://www.stepi.re.kr/common/report/Download.do?reIdx=227&streFileNm=A0203_227&cateCont=A0203&purpose=1&jobGroup=1,F19-07_║░▒╟.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0203-227-SUPP.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0203-227-SUPP.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0203-227-SUPP.md,24851259,8becb60d76ad295ed621ca66e68ddc9653dff307f94a9bd1c78212c462f3a40a,140,51805,可检索文本,2026-08-22
C-STEPI-A0201-962,C-STEPI-A0201-962,主卷,2020,"2020년 중국(중화권) 첨단기술 모니터링 및 DB 구축사업: AI, 5G, 블록체인 (9차년도)",https://www.stepi.re.kr/site/stepiko/report/View.do?cateCont=A0201&reIdx=962,https://www.stepi.re.kr/common/report/Download.do?reIdx=962&streFileNm=51e1fd4a-0926-4a9a-97a4-97ab18f2758a.zip&cateCont=A0201&purpose=1&jobGroup=1,P20-26-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0201-962.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0201-962.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0201-962.md,13090337,ff73e2564451c208999717326267339df576fb42f6776ae718a912dd74c0b618,308,352483,可检索文本,2026-08-22
C-STEPI-A0201-962-SUPP,C-STEPI-A0201-962,附卷,2020,"2020년 중국(중화권) 첨단기술 모니터링 및 DB 구축사업: AI, 5G, 블록체인 (9차년도)",https://www.stepi.re.kr/site/stepiko/report/View.do?cateCont=A0201&reIdx=962,https://www.stepi.re.kr/common/report/Download.do?reIdx=962&streFileNm=51e1fd4a-0926-4a9a-97a4-97ab18f2758a.zip&cateCont=A0201&purpose=1&jobGroup=1,P20-26-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0201-962-SUPP.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0201-962-SUPP.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0201-962-SUPP.md,10315886,4c295e652b146c41691d38d6666202c840a4586b71d65dd135526cdf5b33c7a0,103,72231,可检索文本,2026-08-22
C-STEPI-A0201-1021,C-STEPI-A0201-1021,主卷,2021,중국(중화권) 첨단기술 모니터링 및 DB 구축사업: 스마트 교육·디지털 헬스케어 (10차년도),https://www.stepi.re.kr/site/stepiko/report/View.do?cateCont=A0201&reIdx=1021,https://www.stepi.re.kr/common/report/Download.do?reIdx=1021&streFileNm=cda8a3bf-728a-4754-a8c0-a8e49c7ee79f.zip&cateCont=A0201&purpose=1&jobGroup=1,P21-32-01.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0201-1021.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0201-1021.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0201-1021.md,4617737,ac38e9e64d230fba9b8b34dbb86fb54ae7e0f57a2ef15ade808215b9211833fa,245,274811,可检索文本,2026-08-22
C-STEPI-A0201-1021-SUPP,C-STEPI-A0201-1021,附卷,2021,중국(중화권) 첨단기술 모니터링 및 DB 구축사업: 스마트 교육·디지털 헬스케어 (10차년도),https://www.stepi.re.kr/site/stepiko/report/View.do?cateCont=A0201&reIdx=1021,https://www.stepi.re.kr/common/report/Download.do?reIdx=1021&streFileNm=cda8a3bf-728a-4754-a8c0-a8e49c7ee79f.zip&cateCont=A0201&purpose=1&jobGroup=1,P21-32-02.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\原文PDF\C-STEPI-A0201-1021-SUPP.pdf,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\文本\C-STEPI-A0201-1021-SUPP.txt,C:\Users\WINDOWS\OneDrive\知识库\智库信息爬虫\国际主要科技智库观点演变_研判\03_证据底稿\切片\C-STEPI-A0201-1021-SUPP.md,7452477,4704776b790ee462cfa0594093a9c5abf745a8e4108516dbc0fe473a014715c4,209,180237,可检索文本,2026-08-22
